Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Leopoldsburg;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Leuven;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;880;880;975;;975;;975;;975;;975;;975;;975;2 categorieën: 975 / 1170
Lichtervelde;1350;1350;1350;1350;1350;1600;1600;1600;1600;1600;1008;1008;1008;;1008;;1008;;1008;;1008;;1008;;1208;
Liedekerke;1450;1450;1450;1450;1450;1650;1650;1650;1650;1650;1038;1038;1038;;1038;;1038;;1038;;1038;;1038;;1038;
Lier;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;787;;995;5 categorieën: 995 / 1054,70  / 1084,55 / 1104,45  /1121,61
Lierde;1200;1200;1200;1200;1200;1200;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Lievegem (vanaf 2019);;;;;;;;;;;;834;834;;834;;834;;834;;834;;834;;834;
Lille;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Linkebeek;1200;1200;1200;1200;1200;1200;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
Lint;980;980;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;873,18;4 categorieën: 873,18  /970,20 / 1049,58 / 1266,03
Linter;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;920;920;;920;;920;;920;;920;;920;;920;
Lochristi (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;850;;850;
Lochristi (t/m 2024);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;630;630;850;;850;;850;;850;;850;;;;;
Lokeren (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;787;;787;
Lokeren (t/m 2024);1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;;;;
Lommel;1150;1150;1150;1150;1150;1150;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Londerzeel;1150;1150;1150;1300;1300;1300;1550;1550;1550;1550;976,07;976,07;976,07;;976,07;;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250
Lo-Reninge;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1070;1070;1070;;1070;;1070;;1070;;1070;;1070;;1070;
Lovendegem (t/m 2018);1100;1100;1100;1100;1100;1100;1325;1325;1325;1325;834;;;;;;;;;;;;;;;
Lubbeek;975;975;975;975;975;975;975;975;975;975;614;614;614;;614;;614;;614;;614;;614;;614;
Lummen;1325;1325;1325;1325;1325;1325;1325;1325;1325;1325;834,38;834,38;835;;835;;835;;835;;835;;835;;835;
Maarkedal;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Maaseik;1850;1850;1650;1650;1650;1650;1650;1650;1650;1650;1039;1122;1122;;1122;;1122;;1122;;1122;;1122;;1122;
Maasmechelen;1650;1650;1650;1650;1650;1650;1650;1650;1650;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;1039;;989;
Machelen;1000;1000;1000;1000;1000;1000;1000;1100;1100;1100;692;692;692;;692;;692;;692;;692;;692;;725;5 categorieën: 725 / 761,20 / 795,80 / 813,10 / 839,96
Maldegem;1350;1350;1350;1350;1350;1350;1650;1650;1650;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;1039;;1150;
Malle;975;975;975;975;975;975;975;975;975;975;614;614;614;;614;;614;;614;;614;;614;;714;
Mechelen;1550;1550;1550;1550;1550;1550;1550;1550;1510;1490;938;1100;1100;;1100;;1100;;1100;;1100;;1100;;1200;2 categorieën: 1200 / 1000
Meerhout;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913;913;913;;913;;913;;913;;913;;913;;913;
Meeuwen-Gruitrode (t/m 2018);1150;1150;1150;1150;1150;1150;1150;1150;1150;1150;838;;;;;;;;;;;;;;;
Meise;1000;1000;1000;1000;1000;1000;1000;1200;1200;1200;755,67;755,67;755;;755;;755;;755;;755;;755;;755;
Melle (t/m 2024);1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;;;;
Menen;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1134;1134;1134;;1134;;1134;;1134;;1134;;1134;;1134;
Merchtem;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Merelbeke (t/m 2024);1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;910;910;910;;910;;910;;910;;910;;;;;
Merelbeke-Melle (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;910;;910;
Merksplas;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;692;692;692;;692;;692;;692;;692;;692;;820;
Mesen;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1196;1196;1196;;1196;;1196;;1196;;1196;;1196;;1196;
Meulebeke (t/m 2024);1600;1600;1600;1600;1600;1650;1650;1650;1650;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;;;;
Middelkerke;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1102;1102;1202;;1202;;1202;;1202;;1202;;1202;;1202;
Moerbeke (t/m 2024);900;900;1100;1100;1100;1860;1860;1860;1860;1860;1170;1170;1170;;1170;;1170;;1170;;1170;;;;;
Mol;1250;1250;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Moorslede;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1134;1134;1134;;1134;;1134;;1134;;1134;;1134;;1134;
Mortsel;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;708;708;830;;830;;830;;830;;830;;830;;895;
Nazareth (t/m 2024);1150;1150;1150;1150;1150;1150;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;;;;
Nazareth-De Pinte (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;787;;787;
Neerpelt  (t/m 2018);1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;;;;;;;;;;;;;;;
Nevele  (t/m 2018);1700;1700;1700;1650;1575;1575;1575;1575;1575;1575;992;;;;;;;;;;;;;;;
Niel;1550;1550;1550;1550;1550;1550;1550;1550;1550;1550;976;976;1263;;1263;;1263;;1263;;1263;;1263;;1263;
Nieuwerkerken;1250;1250;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Nieuwpoort;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1071;1071;1071;;1071;;1071;;1071;;1071;;1071;;1071;
Nijlen;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Ninove;1375;1375;1375;1375;1375;1375;1375;1375;1375;1375;866;866;866;;866;;866;;866;;866;;866;;940;
Olen;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;630;630;630;;630;;630;;750;;750;;750;;750;2 categorieën: 750 / 900
Oostende;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;1259,45;1259,45;1259,45;;1259,45;;1259,45;;1259,45;;1259,45;;1259,45;;1259,45;
Oosterzele;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;950;;950;;950;;950;;950;;950;;950;
Oostkamp;1300;1300;1300;1300;1300;1300;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Oostrozebeke;1200;1200;1200;1200;1200;1200;1300;1300;1300;1300;820;820;1020;;1020;;1020;;1020;;1020;;1020;;1070;
Opglabbeek  (t/m 2018);1280;1280;1280;1280;1280;1280;1330;1330;1330;1330;838;;;;;;;;;;;;;;;
Opwijk;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850,13;850,13;850,13;;850,13;;850,13;;850,13;;850,13;;850,13;;850,13;
Oudenaarde;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Oudenburg;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1196;1196;1243;;1243;;1243;;1243;;1243;;1243;;1243;
Oud-Heverlee;750;750;750;750;750;750;1100;1100;1100;1100;693;693;693;;693;;693;;693;;693;;693;;693;
Oudsbergen (vanaf 2019);;;;;;;;;;;;838;838;;838;;838;;838;;838;;838;;838;
Oud-Turnhout;800;800;800;800;800;800;800;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Overijse;850;850;850;850;850;850;850;850;850;850;535;535;535;;535;;535;;610;;610;;610;;585;
Overpelt  (t/m 2018);1176;1176;1176;1176;1176;1176;1176;1176;1176;1176;741;;;;;;;;;;;;;;;
Pajottegem (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;895;;895;
Peer;1450;1450;1550;1550;1550;1550;1550;1550;1550;1550;975;975;975;;975;;975;;975;;975;;975;;975;
Pelt (vanaf 2019);;;;;;;;;;;;741;741;;741;;741;;741;;741;;741;;741;5 categorieën: 741 / 895 / 940 / 987 / 1037
Pepingen;1100;1100;1100;1100;1100;1100;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Pittem;1625;1625;1625;1625;1625;1625;1625;1625;1625;1625;1022;1023,3;1023,3;;1023,3;;1023,3;;1023,3;;1023,3;;1023,3;;1085,6;
Poperinge;1975;1975;1975;1975;1975;1975;1975;1975;1975;1950;1215;1215;1215;;1215;;1215;;1215;;1215;;1215;;1215;
Putte;1150;1150;1150;1150;1150;1150;1450;1450;1400;1350;840;840;840;;840;;840;;840;;840;;840;;831,6;8 categorieën: 814,8 / 823,2 / 831,6 / 877,8 / 898,8 / 932,4 / 957,6 / 1014,6
Puurs  (t/m 2018);1395;1395;1395;1395;1395;1495;1495;1495;1495;1495;941;;;;;;;;;;;;;;;
Puurs-Sint-Amands (vanaf 2019);;;;;;;;;;;;941;998;;998;;998;;998;;998;;990;4 categorieën: 990 / 1075 / 1150 / 1225;990;4 categorieën: 990 / 1075 / 1150 / 1225
Ranst;1120;1120;1120;1120;1120;1120;1120;1120;1120;1120;705;705;705;;705;;705;;705;;705;;705;;750;3 categorieën: 750 / 825 / 900
Ravels;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787,15;787,15;787,15;;787,15;;787,15;;787,15;;787,15;;787,15;;787,15;
Retie;1275;1275;1275;1275;1275;1275;1275;1275;1275;1275;803;803;857;;857;;857;;857;;857;;857;;887;
Riemst;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
Rijkevorsel;1330;1330;1330;1330;1330;1330;1330;1330;1330;1330;837,53;837,53;837,53;;837,53;;837,53;;837,53;;837,53;;837,53;;837,53;
Roeselare;1925;1875;1875;1810;1810;1810;1810;1810;1810;1810;1140;1140;1140;;1140;;1140;;1140;;1140;;1140;;1140;
Ronse;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;944;944;944;;944;;944;;944;;944;;944;;1095;
Roosdaal;1050;1050;1050;1050;1050;1050;1050;1050;1050;1050;661,21;661,21;661,21;;661,21;;661,21;;661,21;;661,21;;661,21;;661,21;
Rotselaar;1200;1200;1200;1200;1200;1450;1450;1450;1450;1450;913,1;913,1;913,1;;913,1;;913,1;;913,1;;913,1;;913,1;;913,1;
Ruiselede (t/m 2024);1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;;;;
Rumst;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;787;;787;
Schelle;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;849;875;875;;897;;897;;897;;897;;897;;970;
Scherpenheuvel-Zichem;1450;1450;1450;1450;1450;1450;1600;1600;1600;1600;1008;1008;1008;;1008;;988;;988;;988;;988;;988;
Schilde;875;875;875;875;875;875;875;875;875;875;551;551;551;;551;;551;;551;;551;;551;;551;
Schoten;1175;1175;1175;1175;1175;1175;1175;1175;1175;1150;724,18;724,18;724,18;;724,18;;724,18;;724,18;;724,18;;724,18;;724,18;
Sint-Amands  (t/m 2018);1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;;;;;;;;;;;;;;;
Sint-Genesius-Rode;835;835;1035;1035;1035;1035;1035;1035;1035;1035;652;652;652;;652;;652;;652;;652;;652;;652;
Sint-Gillis-Waas;1550;1550;1550;1450;1400;1400;1400;1400;1400;1400;882;945;945;;945;;945;;945;;945;;945;;945;
Sint-Katelijne-Waver;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;880;880;880;;880;;880;;880;;880;2 categorieën: 880 / 1055;880;2 categorieën: 880 / 1055;880;2 categorieën: 880 / 1055
Sint-Laureins;1200;1200;1200;1200;1200;1200;1400;1400;1400;1400;881,6;881,6;881,6;;881,6;;881,6;;881,6;;881,6;;881,6;;950;
Sint-Lievens-Houtem;1495;1495;1495;1495;1495;1495;1495;1495;1495;1495;941;941;941;;941;;941;;941;;941;;941;;941;
Sint-Martens-Latem;750;750;750;750;750;750;750;750;750;750;472;472;472;;472;;472;;472;;472;;472;;472;3 categorieën: 472 / 610 / 730
Sint-Niklaas;1325;1325;1325;1325;1325;1325;1325;1325;1325;1325;834,38;834,38;834,38;;834,38;;834,38;;834,38;;834,38;;834,38;;834,38;
Sint-Pieters-Leeuw;900;900;900;900;900;900;900;900;900;900;566,75;566,75;566,75;2 categorieën: 566,75 / 740,00;566,75;2 categorieën: 566,75 / 740,00;566,75;2 categorieën: 566,75 / 740,00;566,75;2 catgorieën: 566,75 / 740,00;566,75;2 catgorieën: 566,75 / 740,00;566,75;2 catgorieën: 566,75 / 740,00;872;2 categorieën: 872 / 980
Sint-Truiden;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;944,58;944,58;944,58;;944,58;;944,58;;944,58;;944,58;;944,58;;940;7 categorieën: 940 / 990 / 1040 / 1090 / 1140 / 1190 / 1240
Spiere-Helkijn;2200;2200;2200;2200;2200;2200;2200;2200;2200;2200;1400;1400;1400;;1400;;1400;;1400;;1400;;1400;;1400;
Stabroek;950;950;950;950;950;950;1200;1200;1200;1200;755;755;755;;755;;755;;755;;755;;755;;755;
Staden;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1071;1071;1150;;1150;;1150;;1150;;1150;;1150;;1150;
Steenokkerzeel;900;900;900;900;900;900;1050;1050;1050;1050;661,21;661,21;661,21;;661,21;;661,21;;661,21;;661,21;;661,21;;661;2 categorieën: 661 / 860
Stekene;1550;1550;1550;1550;1550;1550;1550;1550;1550;1550;976;976;976;;976;;976;;976;;976;;976;;976;
Temse;1125;1125;1125;1125;1125;1125;1500;1500;1500;1500;944,58;944,58;944,58;;944,58;;944,58;;944,58;;944,58;;944,58;;944,58;
Ternat;1275;1275;1275;1275;1275;1275;1275;1275;1275;1275;802,9;802,9;802,9;;802,9;;802,9;;802,9;;802,9;2 categorieën: 802,90 / 1250,00;802,9;2 categorieën: 802,90 / 1250,00;802,9;2 categorieën: 802,90 / 1250
Tervuren;975;975;975;975;975;975;975;975;975;975;614;614;614;;614;;614;;614;;614;;614;;614;
Tessenderlo (t/m 2024);1250;1250;1250;1250;1250;1350;1350;1350;1350;1350;850,13;850,13;850,13;;850,13;;850,13;;850,13;;850,13;;;;;
Tessenderlo-Ham (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;850,13;;850,13;
Tielt (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;1032;;1032;
Tielt (t/m 2024);1250;1250;1250;1250;1250;1250;1400;1400;1400;1400;882;882;1032;;1032;;1032;;1032;;1032;;;;;
Tielt-Winge;1500;1500;1500;1500;1350;1350;1350;1350;1350;1350;850,13;850,13;850,13;;850,13;;850,13;;850,13;;850,13;;850,13;;850,13;
Tienen;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;982;;982;;982;;982;;982;;982;;982;
Tongeren (t/m 2024);1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787,15;900;900;;900;;900;;900;;900;;;;;
Tongeren-Borgloon (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;900;;900;
Torhout;1750;1750;1750;1750;1750;1750;1750;1750;1750;1750;1102;1102;1102;;1102;;1102;;1102;;1102;;1102;;1102;
Tremelo;900;900;900;900;900;900;900;900;900;900;567;567;567;;567;;567;;567;;567;;567;;799;
Turnhout;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913;913;913;;913;;913;;913;;913;;913;;953;
Veurne;1930;1920;1920;1920;1920;1920;1920;1920;1920;1920;1209;1209;1209;;1209;;1209;;1209;;1209;;1209;;1209;
Vilvoorde;1200;1200;1200;1200;1200;1200;1525;1525;1525;1525;960;960;960;;960;;960;;960;;960;;960;;960;
Vleteren;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;1259,45;1259,45;1259,45;;1259,45;;1259,45;;1259,45;;1259,45;;1259,45;;1259,45;
Voeren;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Vorselaar;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Vosselaar;800;800;1000;1000;1000;1000;1000;1000;1000;1000;630;630;630;;630;;630;;630;;630;;630;;630;
Waarschoot  (t/m  2018);1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913;;;;;;;;;;;;;;;
Waasmunster;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913,1;913,1;913,1;;913,1;;913,1;;913,1;;913,1;;913,1;;913,1;
Wachtebeke (t/m 2024);1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;;;;
Waregem;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1006;1006;1006;;1006;;1006;;1006;;1006;;1006;;1006;2 categorieën: 1006 / 1100
Wellen;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Wemmel;750;750;750;750;850;850;1100;1100;1100;1100;693;693;693;;693;;693;;693;;693;;693;;750;4 categorieën:  750 / 780 / 810 / 850
Wervik;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;1259;1259;1259;;1259;;1259;;1259;;1259;;1259;;1259;
Westerlo;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;692;692;692;;692;;692;;692;;692;;692;;692;
Wetteren;1500;1500;1500;1500;1500;1500;1550;1550;1550;1550;976;976;976;;976;;976;;976;;976;;976;;976;
Wevelgem;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1133,5;1133,5;1133,5;;1133,5;;1133,5;;1133,5;;1133,5;;1133,5;;1133,5;2 categorieën: 1133,50 / 1250
Wezembeek-Oppem;850;850;850;850;850;850;850;850;850;850;535;535;535;;535;;535;;535;;535;;535;;602;
Wichelen;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;881,61;881,61;881,61;;881,61;;881,61;;881,61;;881,61;;881,61;;881,61;3 categorieën: 881,61 / 1100 / 1200
Wielsbeke;1200;1200;1200;1200;1200;1600;1600;1600;1600;1600;1007,56;1007,56;1007,56;;1007,56;;1007,56;;1085;;1085;;1085;;1085;
Wijnegem;1175;1175;1175;1175;1175;1175;1175;1175;1175;1350;850;850;850;;850;;850;;850;;850;;850;;850;5 categorieën:  850 / 892,50 / 935 / 956,25 / 980,07
Willebroek;1600;1600;1600;1600;1600;1575;1575;1575;1575;1575;992;992;992;;992;;992;;992;;992;;992;;992;5 categorieën: 992 /1170,56 / 1249,92 / 1299,52 / 1401,20
Wingene (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;1008;;1008;
Wingene (t/m 2024);1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1008;1008;1008;;1008;;1008;;1008;;1008;;;;;
Wommelgem;700;700;700;700;700;700;1000;1000;1000;1000;630;630;630;;630;;630;;630;;630;;630;;760;2 categorieën: 760 / 890
Wortegem-Petegem;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
Wuustwezel;1175;1175;1175;1175;1175;1175;1175;1175;1175;1175;740;740;740;;740;;740;;740;;740;;740;;740;
Zandhoven;975;975;975;975;975;975;975;975;975;975;614;614;614;;614;;614;;614;;614;;614;;674;
Zaventem;750;750;750;750;750;750;750;750;750;750;472;472;472;;472;;472;;472;;472;;472;;472;
Zedelgem;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Zele;1150;1150;1150;1150;1150;1150;1400;1400;1400;1400;870;870;870;;870;;870;;870;;870;;870;;870;5 categorieën: 870 / 957 / 1000,5 / 1087,5 / 1142,87
Zelzate;1450;1450;1450;1450;1450;1450;1450;1450;1450;1450;913,1;913,1;913,1;;913,1;;913,1;;913,1;;913,1;;913,1;;913,1;
Zemst;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;693;693;693;;693;;693;;693;;693;;693;;850;
Zingem  (t/m/ 2018);1425;1425;1425;1425;1425;1425;1425;1425;1425;1425;693;;;;;;;;;;;;;;;
Zoersel;935;935;935;935;935;935;935;935;935;935;589;589;589;;589;;589;;589;;589;;589;;589;
Zomergem  (t/m 2018);1375;1375;1375;1375;1375;1675;1675;1675;1675;1675;866;;;;;;;;;;;;;;;
Zonhoven;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Zonnebeke;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1196;1196;1196;;1196;;1196;;1196;;1196;;1196;;1196;
Zottegem;1600;1600;1600;1600;1600;1600;1700;1700;1700;1700;1070;1070;1070;;1070;;1070;;1070;;1070;;1070;;1070;
Zoutleeuw;1400;1400;1400;1400;1400;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Zuienkerke;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1133,5;1133,5;1133,5;;1133,5;;1133,5;;1133,5;;1133,5;;1133,5;;1133,5;
Zulte;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;629,72;629,72;875;;875;;875;;875;;875;;875;;875;
Zutendaal;1300;1300;1300;1300;1300;1250;1250;1250;1250;1250;788;788;788;;788;;788;;788;;788;;788;;788;
Zwalm;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Zwevegem;1950;1950;1950;1950;1950;1950;1950;1950;1950;1950;1228;1228;1228;;1228;;1228;;1228;;1228;;1228;;1228;
Zwijndrecht (t/m 2024);1200;1200;1200;1200;1200;1200;1450;1450;1450;1450;913;913;913;;913;2 categorieën: 913 / 950;913;2 categorieën: 913 / 950;913;2 catgorieën: 913 / 950;913;2 catgorieën: 913 / 950;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
gemiddelde;1334;1333;1340;1342;1340;1356;1393;1397;1397;1395;876,96;880,33;896,1;;896,54;;897,06;;898,52;;898,08;;895,42;;916,03;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
